요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부
 M 스페셜 15GB(밀리의서재) ,후불)엠모바일,LTE,15GB + 1Mbps 무제한,"22,400",TRUE
 M 프리미엄 15GB 100분 ,후불)엠모바일,LTE,15GB + 3Mbps 무제한,"25,900",TRUE
 M 프리미엄 15GB 100분(밀리의서재) ,후불)엠모바일,LTE,15GB + 3Mbps 무제한,"26,400",TRUE
 M 프리미엄 15GB 100분(CU 20%할인) ,후불)엠모바일,LTE,15GB + 3Mbps 무제한,"26,400",TRUE
 M 프리미엄 15GB 100분(지니뮤직) ,후불)엠모바일,LTE,15GB + 3Mbps 무제한,"28,900",TRUE
 M 프리미엄 15GB 300분(CU 20%할인) ,후불)엠모바일,LTE,15GB + 1Mbps 무제한,"29,000",TRUE
 M 프리미엄 11GB ,후불)엠모바일,LTE,11GB + 일2GB + 3Mbps 무제한,"33,500",TRUE
 M 프리미엄 11GB(밀리의서재) ,후불)엠모바일,LTE,11GB + 일2GB + 3Mbps 무제한,"34,000",TRUE
 M 프리미엄 11GB(지니뮤직) ,후불)엠모바일,LTE,11GB + 일2GB + 3Mbps 무제한,"36,900",TRUE
 모두다 맘껏 11GB+(메가박스 FREE) ,후불)엠모바일,LTE,11GB + 일2GB + 3Mbps 무제한,"38,600",TRUE
 M 프리미엄 11GB(CU 20%할인) ,후불)엠모바일,LTE,11GB + 일2GB + 3Mbps 무제한,"34,000",TRUE
 M 프리미엄 일5GB ,후불)엠모바일,LTE,매일5GB + 5Mbps,"39,400",TRUE
 M 프리미엄 100GB ,후불)엠모바일,LTE,100GB + 5Mbps 무제한,"39,400",TRUE
 M 프리미엄 100GB(CU 20%할인) ,후불)엠모바일,LTE,100GB + 5Mbps 무제한,"39,900",TRUE
 M 프리미엄 100GB(밀리의서재) ,후불)엠모바일,LTE,100GB + 5Mbps 무제한,"39,900",TRUE
 5G M 알뜰 10GB ,후불)엠모바일,5G,10GB,"18,900",TRUE
 5G M 스페셜 30GB ,후불)엠모바일,5G,30GB + 1Mbps 무제한,"41,700",TRUE
 5G M 프리미엄 110GB ,후불)엠모바일,5G,110GB + 5Mbps 무제한,"46,900",TRUE
 5G M 프리미엄 200GB ,후불)엠모바일,5G,200GB + 10Mbps 무제한,"53,900",TRUE
 슬림 1.5GB/150분 ,후불)스카이,LTE,1.5GB,"5,000 ",TRUE
 슬림 3GB/300분 ,후불)스카이,LTE,3GB,"6,900 ",TRUE
 통화 충분 10GB ,후불)스카이,LTE,10GB,"13,900 ",TRUE
 스쿨 4GB+ ,후불)스카이,LTE,4GB+400Kbps,"10,900 ",TRUE
 스쿨 8GB+ ,후불)스카이,LTE,8GB+400Kbps,"14,900 ",TRUE
