접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔23935,수)유노텔레콤,유노텔레콤,후불)텔링크SK,김성수
S텔21858,수)유니모바일(오남),유니모바일,후불)텔링크SK,김성수
S텔21655,열)유니통신(광주),유니통신,후불)텔링크SK,박종열
S텔20432,영)유림(수원),히어로컴퍼니,후불)텔링크SK,원세영
S텔23591,구)유성통신,유성통신,후불)텔링크SK,서승구
S텔23258,민)유앤소프트,주식회사유니스우정일지점,후불)텔링크SK,김민준
S텔25967,민)유앤소프트,영인모바일,후불)텔링크SK,김민준
S텔21174,민)유앤소프트,왕창텔레콤,후불)텔링크SK,김민준
S텔18536,민)유앤소프트,금강정보통신,후불)텔링크SK,김민준
S텔24222,민)유앤소프트,붕붕콜,후불)텔링크SK,김민준
S텔21539,구)좋은회사주식회사(대화점),유에이블모바일,후불)텔링크SK,서승구
S텔24333,영)유엔통신,UN통신,후불)텔링크SK,원세영
S텔22494,민)유이텔레콤(염창),유이텔레콤,후불)텔링크SK,김민준
S텔25036,구)유진상사(구로),유진상사,후불)텔링크SK,서승구
S텔16472,민)유진정보,유진정보통신,후불)텔링크SK,김민준
S텔20144,수)유케이씨(오남),유케이씨 컴퍼니,후불)텔링크SK,김성수
S텔26014,수)유플러스텔레콤,UPLUS 텔레콤,후불)텔링크SK,김성수
S텔25422,수)유한회사라인업글로벌(부산),유한회사 라인업 글로벌,후불)텔링크SK,김성수
S텔25472,민)윤샵(울산),통통텔레콤 전하점,후불)텔링크SK,김민준
S텔24092,민)윤샵(울산),통통텔레콤,후불)텔링크SK,김민준
S텔22920,민)윤샵(울산),통통텔레콤,후불)텔링크SK,김민준
S텔22919,민)윤샵(울산),통통텔레콤 방어진점,후불)텔링크SK,김민준
S텔20345,민)윤샵(울산),(주)윤샵,후불)텔링크SK,김민준
S텔26146,영)윤슬통신,윤슬통신,후불)텔링크SK,원세영
S텔17427,열)윤이나텔레콤(화성),윤이나텔레콤,후불)텔링크SK,박종열
S텔20852,수)윤텔레콤(안동),윤텔레콤,후불)텔링크SK,김성수
S텔21983,구)윤현통신(파주),윤현통신,후불)텔링크SK,서승구
S텔16365,웅)율리정보통신,율리정보통신,후불)텔링크SK,정선웅
S텔24579,열)으뜸네트워크,슈슈모바일,후불)텔링크SK,박종열
