Column1,Column2,Column3
민)대박통신(시흥),민)대박통신(시흥),KT-VI
수)대박통신(자양),수)대박통신(자양),KT-VI
열)대박통신(조암),열)대박통신(조암),KT-VI
열)대박통신(화성),열)대박통신(화성),KT-VI
수)대박MK텔레콤(둔촌),수)대박MK텔레콤(둔촌),KT-VI
열)대상정보,열)대상정보,KT-VI
수)대상텔레콤,수)대상텔레콤,KT-VI
열)대성아이티(강동),열)대성아이티(강동),KT-VI
수)대우통신(일동),수)대우통신(일동),KT-VI
열)대전모바일,열)대전모바일,KT-VI
수)대정씨앤씨(왕십리),수)대정씨앤씨(왕십리),KT-VI
수)대한텔레콤(답십리),수)대한텔레콤(답십리),KT-VI
수)대한통신(의정부),수)대한통신(의정부),KT-VI
영)대호정보통신,영)대호정보통신,KT-VI
영)더굿컴퍼니,영)더굿컴퍼니,KT-VI
구)더더,구)더더,KT-VI
구)더모스트,구)더모스트,KT-VI
민)더본모바일,민)더본모바일,KT-VI
열)더블와이컴퍼니(중곡동),열)더블와이컴퍼니(중곡동),KT-VI
열)더블유비컴퍼니,열)더블유비컴퍼니,KT-VI
구)더블케이대박통신,구)더블케이대박통신,KT-VI
우)더원네트웍스,우)더원네트웍스,KT-VI
수)더줌텔레콤(천안),수)더줌텔레콤(천안),KT-VI
구)더컴퍼니(고양),구)더컴퍼니(고양),KT-VI
구)더컴퍼니(행신점),구)더컴퍼니(행신점),KT-VI
웅)더플레이,웅)더플레이,KT-VI
준)덕계리통신(양주),준)덕계리통신(양주),KT-VI
수)덕소루,수)덕소루,KT-VI
준)덤플,준)덤플,KT-VI
열)데오통신(부산),열)데오통신(부산),KT-VI
웅)도경글로벌,웅)도경글로벌,KT-VI
웅)도매시장(옥천),웅)도매시장(옥천),KT-VI
열)도매폰(광주),열)도매폰(광주),KT-VI
열)도매폰(광주오포),열)도매폰(광주오포),KT-VI
수)도매폰(다산),수)도매폰(다산),KT-VI
수)도매폰(미아),수)도매폰(미아),KT-VI
열)도매폰(수원),열)도매폰(수원),KT-VI
수)도매폰(의정부),수)도매폰(의정부),KT-VI
구)도연,구)도연,KT-VI
영)독도텔레콤(암사),영)독도텔레콤(암사),KT-VI
영)독도폰(경주),영)독도폰(경주),KT-VI
웅)돌고래통신,웅)돌고래통신,KT-VI
영)돌고래통신(쌍문점),영)돌고래통신(쌍문점),KT-VI
수)돌다리텔레콤(구리),수)돌다리텔레콤(구리),KT-VI
